Site(id=1572, URL=https://liquipedia.net, dotaCount=2, valorantCount=0, csCount=2, pubgCount=7)
Site(id=1573, URL=https://tl.net/, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1574, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1575, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1576, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1577, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1578, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1579, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1580, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1581, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1582, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1583, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1584, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1585, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1586, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1587, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1588, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1589, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1590, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=1591, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1592, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1593, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1594, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1595, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1596, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1597, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1598, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1599, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1600, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1601, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1602, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1603, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=1604, URL=http://www.alienware.com/, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=1605, URL=https://liquipedia.net/, dotaCount=2, valorantCount=0, csCount=2, pubgCount=7)
Site(id=1606, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1607, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1608, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1609, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1610, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1611, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1612, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1613, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1614, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1615, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1616, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1617, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1618, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1619, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1620, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1621, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=1622, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1623, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1624, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1625, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1626, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1627, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1628, URL=https://tl.net/mytlnet/login, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1629, URL=https://tl.net/mytlnet/register, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1630, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=1631, URL=http://www.alienware.com/, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=1632, URL=https://www.dell.com/en-us/gaming/alienware#aw-section-content-1, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=1633, URL=https://www.teamliquid.com/news/2022/12/02/sayf-a-long-and-odd-path-to-the-top, dotaCount=1, valorantCount=17, csCount=2, pubgCount=0)
Site(id=1634, URL=https://liquipedia.net/, dotaCount=2, valorantCount=0, csCount=2, pubgCount=7)
Site(id=1635, URL=https://tl.net/, dotaCount=4, valorantCount=0, csCount=3, pubgCount=0)
Site(id=1636, URL=https://twitter.com/tlnet, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=1637, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1638, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1639, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1640, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1641, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1642, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1643, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1644, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1645, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1646, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1647, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1648, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1649, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1650, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1651, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1652, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1653, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1654, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1655, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1656, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1657, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1658, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1659, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1660, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1661, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1662, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1663, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1664, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1665, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1666, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1667, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1668, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1669, URL=https://liquipedia.net/dota2/Alliance, dotaCount=36, valorantCount=0, csCount=1, pubgCount=4)
Site(id=1670, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1671, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1672, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1673, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1674, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1675, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1676, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1677, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1678, URL=https://liquipedia.net/dota2/Alliance#, dotaCount=36, valorantCount=0, csCount=1, pubgCount=4)
Site(id=1679, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1680, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1681, URL=https://liquipedia.net/dota2/Alliance#, dotaCount=36, valorantCount=0, csCount=1, pubgCount=4)
Site(id=1682, URL=https://liquipedia.net/dota2/Alliance#, dotaCount=36, valorantCount=0, csCount=1, pubgCount=4)
Site(id=1683, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1684, URL=https://liquipedia.net/dota2/Alliance#, dotaCount=36, valorantCount=0, csCount=1, pubgCount=4)
Site(id=1685, URL=https://liquipedia.net/dota2/ChYuan, dotaCount=15, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1686, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1687, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1688, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1689, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1690, URL=https://liquipedia.net/dota2/ChYuan#, dotaCount=15, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1691, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1692, URL=https://liquipedia.net/dota2/ChYuan#, dotaCount=15, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1693, URL=https://liquipedia.net/dota2/BOOM, dotaCount=10, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1694, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1695, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1696, URL=https://liquipedia.net/dota2/BOOM#, dotaCount=10, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1697, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Southeast_Asia, dotaCount=8, valorantCount=0, csCount=1, pubgCount=2)
Site(id=1698, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=13, valorantCount=0, csCount=1, pubgCount=2)
